id,name,birthdate,deathdate
4518,Kevin Leslie,,
4519,Kevin Lima,,
4520,Kevin Macdonald,16/05/1961,
4521,Kevin McCarthy,,
4522,Kevin McGowan,,
4523,Kevin McHale,14/06/1988,
4524,Kevin McNally,27/04/1956,
4525,Kevin Michael Richardson,25/10/1964,
4526,Kevin Munroe,,
4527,Kevin Nash,09/07/1959,
4528,Kevin Nealon,18/11/1953,
4529,Kevin P. Farley,08/06/1965,
4530,Kevin Peter Hall,09/05/1955,10/04/1991
4531,Kevin Pollak,30/10/1957,
4532,Kevin Rahm,07/01/1971,
4533,Kevin Rankin,18/04/1976,
4534,Kevin Reynolds,17/01/1952,
4535,Kevin Rodney Sullivan,03/08/1958,
4536,Kevin Scott Richardson,03/10/1971,
4537,Kevin Smith,02/08/1970,
4538,Kevin Spacey,26/07/1959,
4539,Kevin Sussman,04/12/1970,
4540,Kevin Tancharoen,23/04/1984,
4541,Kevin Tenney,16/10/1955,
4542,Kevin Tighe,13/08/1944,
4543,Kevin Williamson,14/03/1965,
4544,Kevin Zegers,19/09/1984,
4545,Kevork Malikyan,02/06/1943,
4546,Khaira Arby,,
4547,Khalid Abdalla,30/12/1980,
4548,Khalid Mohamed,,
4549,Khalil Sullins,,
4550,Khamani Griffin,01/08/1998,
4551,Khandi Alexander,04/09/1957,
4552,Khulan Chuluun,30/05/1985,
4553,Khyentse Norbu,,
4554,Ki Hong Lee,,
4555,Kick Gurry,25/05/1978,
4556,Kief Davidson,12/05/1970,
4557,Kieran Culkin,30/09/1982,
4558,Kiernan Shipka,10/11/1999,
4559,Kiersey Clemons,17/12/1993,
4560,Kieu Chinh,,
4561,Kim Chan,28/12/1917,05/10/2008
4562,Kim Darby,08/07/1947,
4563,Kim De Angelo,,
4564,Kim Delaney,29/11/1961,
4565,Kim Dickens,18/06/1965,
4566,Kim Director,13/11/1974,
4567,Kim Farrant,,
4568,Kim Hunter,15/06/1947,
4569,Kim Ly,,
4570,Kim Nguyen,,
4571,Kim Shaw,,
4572,Kim Thomson,,
4573,Kim-Marie Woodhouse,,
4574,Kimberley Crossman,24/05/1990,
4575,Kimberly Beck,09/01/1956,
4576,Kimberly Elise,17/04/1967,
4577,Kimberly J. Brown,,
4578,Kimberly Peirce,08/09/1967,
4579,Kimberly Williams-Paisley,14/09/1971,
4580,Kimble Rendall,,
4581,King Vidor,1894-02-08,01/11/1982
4582,Kinka Usher,,
4583,Kiowa Gordon,25/03/1990,
4584,Kip Pardue,23/09/1975,
4585,Kira McLean,,
4586,Kiran Shah,28/09/1956,
4587,Kirby Bliss Blanton,24/10/1990,
4588,Kirby Heyborne,,
4589,Kirk Baltz,14/09/1959,
4590,Kirk Cameron,12/10/1970,
4591,Kirk De Micco,,
4592,Kirk Fox,26/08/1969,
4593,Kirk Jones,31/10/1964,
4594,Kirk Loudon,,
4595,Kirk Wong,,
4596,Kirpatrick Thomas,,
4597,Kirsten Collins,,
4598,Kirsten Day,,
4599,Kirsten Dunst,30/04/1982,
4600,Kirsten Sheridan,14/07/1976,
4601,Kirstie Alley,12/01/1951,
4602,Kiyoshi Kurosawa,19/07/1955,
4603,Kjell Nilsson,,
4604,Klaus Kinski,18/10/1926,23/11/1991
4605,Klaus Maria Brandauer,22/06/1943,
4606,Klaus Menzel,,
4607,Kodi Smit-McPhee,13/06/1996,
4608,KÃ´ji Yakusho,01/01/1956,
4609,Konstantin Khabenskiy,11/01/1972,
4610,Konstantin Lavronenko,20/04/1961,
4611,Kostja Ullmann,30/05/1984,
4612,Kris Isacsson,,
4613,Kris Marshall,01/04/1973,
4614,Kris Sommerville,,
4615,Krista Allen,05/04/1971,
4616,Kristen Cloke,02/09/1968,
4617,Kristen Connolly,12/07/1980,
4618,Kristen Johnston,20/09/1967,
4619,Kristen Quintrall,,
4620,Kristen Seavey,,
4621,Kristen Stewart,09/04/1990,
4622,Kristi Clainos,12/07/1974,
4623,Kristian Bruun,,
4624,Kristin Booth,28/08/1974,
4625,Kristin Davis,23/02/1965,
4626,Kristin Lehman,03/05/1972,
4627,Kristin Rizzo,,
4628,Kristin Scott Thomas,24/05/1960,
4629,Kristoffer Polaha,18/02/1977,
4630,Kristy Swanson,19/12/1969,
4631,Kriv Stenders,,
4632,Krysta Rodriguez,23/07/1984,
4633,Kumar Gaurav,11/07/1960,
4634,Kundan Shah,19/10/1947,
4635,Kunihiko Yuyama,15/10/1952,
4636,Kuno Becker,14/01/1978,
4637,Kurt Angle,09/12/1969,
4638,Kurt Fuller,16/09/1953,
4639,Kurt Hale,,
4640,Kurt Loder,05/05/1945,
4641,Kurt Voss,16/09/1963,
4642,Kurt Wimmer,,
4643,Kurtwood Smith,03/07/1943,
4644,Kwesi Ameyaw,24/08/1975,
4645,Kwok-Kwan Chan,01/08/1975,
4646,Kyla Pratt,16/09/1986,
4647,Kyla Wise,,
4648,Kyle Balda,09/03/1971,
4649,Kyle Gass,14/07/1960,
4650,Kyle Hebert,14/06/1969,
4651,Kyle Schmid,03/08/1984,
4652,Kylie Bunbury,30/01/1989,
4653,Kylie Minogue,28/05/1968,
4654,Kyra Nichols,,
4655,Kyra Sedgwick,19/08/1965,
4656,Kyung-gu Sol,01/05/1968,
4657,L.Q. Jones,14/03/1933,
4658,La'Princess Jackson,,
4659,Laila Haley,,
4660,Lainie Kazan,15/05/1940,
4661,Laird John Hamilton,02/03/1964,
4662,Lajos Koltai,02/04/1946,
4663,Lalaine,03/06/1987,
4664,Lambert Wilson,03/08/1958,
4665,Lamman Rucker,06/10/1971,
4666,Lana Wachowski,21/06/1965,
4667,Lance Gross,08/07/1981,
4668,Lance Hool,11/05/1948,
4669,Lance Kawas,,
4670,Lance McDaniel,,
4671,Lance Mungia,,
4672,Lance Rivera,,
4673,Landon Liboiron,,
4674,Lane Smith,29/04/1936,13/06/2005
4675,Lara Flynn Boyle,24/03/1970,
4676,Lara Jean Chorostecki,24/09/1984,
4677,Lara Jill Miller,20/04/1967,
4678,Lara Pulver,01/09/1980,
4679,Laraine Day,13/10/1920,10/11/2007
4680,Larenz Tate,08/09/1975,
4681,Lark Voorhies,25/03/1974,
4682,Larry Bagby,07/03/1974,
4683,Larry Blamire,,
4684,Larry Charles,01/12/1956,
4685,Larry Clark,19/01/1943,
4686,Larry David,02/07/1947,
4687,Larry Drake,21/02/1949,17/03/2016
4688,Larry Fessenden,23/03/1963,
4689,Larry Hankin,31/08/1940,
4690,Larry Joe Campbell,29/11/1970,
4691,Larry King,19/11/1933,
4692,Larry Miller,15/10/1953,
4693,Larry Mullen Jr.,31/10/1961,
4694,Larry Poindexter,16/12/1959,
4695,Larry the Cable Guy,17/02/1963,
4696,Lars Mikkelsen,06/05/1964,
4697,Lars Ulrich,26/12/1963,
4698,Lars von Trier,30/04/1956,
4699,Laslo Benedek,05/03/1905,11/03/1992
4700,Lasse HallstrÃ¶m,02/06/1946,
4701,Lateef Crowder,23/11/1977,
4702,Laura Breckenridge,22/08/1983,
4703,Laura Brent,,
4704,Laura Flanders,05/12/1961,
4705,Laura Fraser,24/07/1976,
4706,Laura Harring,03/03/1964,
4707,Laura Harris,,
4708,Laura Morante,21/08/1956,
4709,Laura Ramsey,14/11/1982,
4710,Laura San Giacomo,14/11/1962,
4711,Laura Spencer,19/06/1969,
4712,Laura-Leigh,,
4713,Laurel Holloman,23/05/1971,
4714,Lauren Ambrose,20/02/1978,
4715,Lauren C. Mayhew,27/11/1985,
4716,Lauren Cohan,07/01/1982,
4717,Lauren German,29/11/1978,
4718,Lauren Gottlieb,,
4719,Lauren Holly,28/10/1963,
4720,Lauren Lazin,,
4721,Lauren Lee Smith,19/06/1980,
4722,Lauren London,05/12/1984,
4723,Lauren Sweetser,11/02/1988,
4724,Laurence Dunmore,,
4725,Laurence Fox,26/05/1978,
4726,Laurence Olivier,22/05/1907,11/07/1989
4727,Laurent Bouhnik,07/04/1961,
4728,Laurent Cantet,15/06/1961,
4729,Laurent Poitrenaux,,
4730,Laurent Tirard,,
4731,Laurie Collyer,,
4732,Laurie Metcalf,16/06/1955,
4733,Lauryn Hill,26/05/1975,
4734,Lawrence Gilliard Jr.,22/09/1971,
4735,Lawrence Guterman,,
4736,Lawrence Kasanoff,01/06/1959,
4737,Lawrence Kasdan,14/01/1949,
4738,Laz Alonso,25/03/1974,
4739,LÃ©a Drucker,23/01/1972,
4740,Lea Michele,29/08/1986,
4741,LÃ©a Pool,,
4742,Lea Thompson,31/05/1961,
4743,Leah Remini,15/06/1970,
4744,Lee Arenberg,18/07/1962,
4745,Lee Armstrong,,
4746,Lee Daniels,24/12/1959,
4747,Lee Evans,25/02/1964,
4748,Lee Ingleby,28/01/1976,
4749,Lee J. Cobb,08/12/1911,11/02/1976
4750,Lee Majors,23/04/1939,
4751,Lee Marvin,19/02/1924,29/08/1987
4752,Lee Norris,19/04/1982,
4753,Lee Remick,14/12/1935,02/07/1991
4754,Lee Scott,,
4755,Lee Tamahori,22/04/1950,
4756,Lee Tergesen,08/07/1965,
4757,Lee Toland Krieger,,
4758,Lee Unkrich,08/08/1967,
4759,Lee Ving,,
4760,Leehom Wang,17/05/1976,
4761,Leigh Whannell,17/01/1977,
4762,Leighton Meester,09/04/1986,
4763,Leila Arcieri,18/12/1973,
4764,Leila Hatami,01/10/1972,
4765,Lela Rochon,17/04/1964,
4766,Leland Orser,06/08/1960,
4767,Leleti Khumalo,30/03/1970,
4768,Lemmy,24/12/1945,28/12/2015
4769,Len Cariou,30/09/1939,
4770,Len Wiseman,04/03/1973,
4771,Lena Dunham,13/05/1986,
4772,Lena Endre,08/07/1955,
4773,Lena Horne,30/06/1917,09/05/2010
4774,Lena Olin,22/03/1955,
4775,Lenny Abrahamson,30/11/1966,
4776,Lenny Venito,,
4777,Lenore Zann,22/11/1959,
4778,Leo Fitzpatrick,10/08/1978,
4779,Leo G. Carroll,1886-10-25,16/10/1972
4780,Leo Howard,,
4781,Leo McKern,16/03/1920,23/07/2002
4782,Leo Rossi,26/06/1946,
4783,Leon,08/03/1962,
4784,Leon Ford,,
4785,Leon Ichaso,03/08/1948,
4786,Leon Isaac Kennedy,01/01/1949,
4787,Leon Rippy,30/10/1949,
4788,LÃ©on Schwartzenberg,,
4789,Leonard Farlinger,,
4790,Leonard Nimoy,26/03/1931,27/02/2015
4791,Leonard Roberts,28/02/1969,
4792,Leonardo DiCaprio,11/11/1974,
4793,Leonid Yarmolnik,22/01/1954,
4794,Leonie Benesch,22/04/1991,
4795,Leonor Varela,29/12/1972,
4796,Leonor Watling,28/07/1975,
4797,Leopold Stokowski,1882-04-18,13/09/1977
4798,Leos Carax,22/11/1960,
4799,Les Mayfield,,
4800,Lesley Ann Warren,16/08/1946,
4801,Lesley Manville,12/03/1956,
4802,Lesley Sharp,03/04/1960,
4803,Lesley-Anne Down,17/03/1954,
4804,Leslie Bibb,17/11/1974,
4805,Leslie Carlson,24/02/1933,03/05/2014
4806,Leslie Caron,01/07/1931,
4807,Leslie H. Martinson,16/01/1915,03/09/2016
4808,Leslie Hope,06/05/1965,
4809,Leslie Jordan,29/04/1955,
4810,Leslie Small,,
4811,Leslye Headland,26/11/1980,
4812,Lester Speight,07/01/1963,
4813,Leticia BrÃ©dice,26/08/1972,
4814,Levan Gabriadze,16/11/1969,
4815,LeVar Burton,16/02/1957,
4816,Leven Rambin,17/05/1990,
4817,Levon Helm,26/05/1940,19/04/2012
4818,Lew Temple,02/10/1967,
4819,Lewis Gilbert,06/06/1934,31/10/2011
4820,Lex Barker,,
4821,Lex Shrapnel,06/10/1979,
4822,Lexa Doig,08/06/1973,
4823,Lexi Alexander,23/08/1974,
4824,Lexie Contursi,18/09/1989,
4825,Lhakpa Dorji,,
4826,Li Gong,31/12/1965,
4827,Li Jun Li,,
4828,Li Zhang,,
4829,Lia Tucker,,
4830,Liam Aiken,07/01/1990,
4831,Liam James,21/09/1950,
4832,Liam Neeson,07/06/1952,
4833,Liane Balaban,24/06/1980,
4834,Libby Villari,,
4835,Lijun Sun,,
4836,Lil' Wayne,27/09/1982,
4837,Lila Kedrova,09/10/1918,16/02/2000
4838,Lili Taylor,20/02/1967,
4839,Liliana Cavani,12/01/1933,
4840,Lillete Dubey,13/05/1954,
4841,Lilli Lavine,,
4842,Lillian Adams,13/05/1922,25/05/2011
4843,Lillian Gish,1893-10-14,27/02/1993
4844,Lillo Brancato,30/03/1976,
4845,Lily Atkinson,,
4846,Lily Cole,27/12/1987,
4847,Lily James,05/04/1989,
4848,Lily Rabe,29/06/1982,
4849,Lily Tomlin,01/09/1939,
4850,Lin Shaye,12/10/1943,
4851,Lina Esco,14/05/1985,
4852,Lincoln Hoppe,05/06/1971,
4853,Linda Blair,22/01/1959,
4854,Linda Cardellini,25/06/1975,
4855,Linda Fiorentino,09/03/1958,
4856,Linda Harrison,26/07/1945,
4857,Linda Kozlowski,07/01/1958,
4858,Linda Lovelace,10/01/1949,22/04/2002
4859,Linda Mendoza,,
4860,Linden Ashby,23/05/1960,
4861,Lindsay Duncan,07/11/1950,
4862,Lindsay Felton,04/12/1984,
4863,Lindsay Kay Hayward,28/07/1987,
4864,Lindsay MacDonald,22/09/1997,
4865,Lindsay Price,06/12/1976,
4866,Lindsay Sloane,08/08/1977,
4867,Lindsay Wagner,22/06/1949,
4868,Lindsey Haun,21/11/1984,
4869,Lindy Booth,02/04/1979,
4870,Linnea Quigley,27/05/1958,
4871,Lino Facioli,29/07/2000,
4872,Linus Roache,01/02/1964,
4873,Lionel Abelanski,22/10/1964,
4874,Lionel Barrymore,1878-04-28,15/11/1954
4875,Lionel C. Martin,,
4876,Lior Ashkenazi,,
4877,Lisa Ann,09/05/1972,
4878,Lisa Ann Walter,03/08/1963,
4879,Lisa Arnold,,
4880,Lisa Azuelos,06/11/1965,
4881,Lisa Bonet,16/11/1967,
4882,Lisa Brave,,
4883,Lisa Cholodenko,05/06/1964,
4884,Lisa Edelstein,21/05/1966,
4885,Lisa Gaye,25/03/1964,
4886,Lisa Kay,11/02/1971,
4887,Lisa Ortiz,11/12/1974,
4888,Lisa Pelikan,12/07/1954,
4889,Lisa Ray,04/04/1972,
4890,Lisa Wilcox,27/04/1964,
4891,LisaGay Hamilton,25/03/1964,
4892,Lisanne Pajot,,
4893,LisaRaye McCoy,23/09/1966,
4894,Liv Ullmann,16/12/1938,
4895,Livingston Oden,,
4896,Livvy Stubenrauch,,
4897,Liya Kebede,01/03/1978,
4898,Liz Friedlander,,
4899,Liz Mullane,,
4900,Liza Lapira,,
4901,Liza Minnelli,12/03/1946,
4902,Lizzie BrocherÃ©,22/03/1985,
4903,Ljubomir Kerekes,16/01/1960,
4904,LL Cool J,14/01/1968,
4905,Lloyd Avery II,21/06/1969,04/09/2005
4906,Lloyd Bacon,1889-12-04,15/11/1955
4907,Lloyd Bridges,15/01/1913,10/03/1998
4908,Lloyd Kaufman,30/12/1945,
4909,LluÃ­s QuÃ­lez,08/12/1978,
4910,Loanne Bishop,10/11/1955,
4911,Lobo Sebastian,,
4912,Lochlyn Munro,12/02/1966,
4913,Logan Browning,09/06/1989,
4914,Logan Lerman,19/01/1992,
4915,Lois Chiles,15/04/1947,
4916,Lois Maxwell,14/02/1927,29/09/2007
4917,Lois Smith,03/11/1930,
4918,Lola DueÃ±as,06/10/1971,
4919,Lola Glaudini,24/11/1971,
4920,Lolita Davidovich,15/07/1961,
4921,Lon Chaney Jr.,10/02/1906,12/07/1973
4922,Lone Scherfig,02/05/1959,
4923,Long Nguyen,,
4924,Lorelei Linklater,29/05/1994,
4925,Lorene Scafaria,,
4926,Loretta Devine,21/08/1949,
4927,Lori Petty,14/10/1963,
4928,Lori Silverbush,,
4929,Lori Singer,06/11/1957,
4930,Lorna Raver,09/10/1943,
4931,Lorne Cardinal,,
4932,Lorraine Bracco,02/10/1954,
4933,Lorraine Stanley,28/06/1976,
4934,Lorraine Toussaint,04/04/1960,
4935,Lorraine Ziff,,
4936,Lotte Verbeek,24/06/1982,
4937,Lou Adler,13/12/1933,
4938,Lou Perryman,15/08/1941,01/04/2009
4939,Lou Romano,15/04/1972,
4940,Lou Saliba,,
4941,Lou Taylor Pucci,27/07/1985,
4942,Louis C.K.,12/09/1967,
4943,Louis Ferreira,20/02/1966,
4944,Louis Herthum,05/07/1956,
4945,Louis Jourdan,19/06/1921,14/02/2015
4946,Louis Koo,21/10/1970,
4947,Louis Leterrier,17/06/1973,
4948,Louis Lombardi,,
4949,Louis Mandylor,13/09/1966,
4950,Louis Morneau,,
4951,Louis Mustillo,28/05/1958,
4952,Louis Ozawa Changchien,,
4953,Louis Walsh,05/08/1952,
4954,Louisa Milwood-Haigh,,
4955,Louise Beavers,08/03/1902,26/10/1962
4956,Louise Bourgoin,28/11/1981,
4957,Louise Brealey,27/03/1979,
4958,Louise Brooks,23/10/1946,02/09/2012
4959,Louise Fletcher,22/07/1934,
4960,Louise Lasser,11/04/1939,
4961,Louise Sorel,06/08/1940,
4962,Lowell Sherman,1888-10-11,28/12/1934
4963,Lubna Azabal,,
4964,Luc Besson,18/03/1959,
4965,Luc Jacquet,05/12/1967,
4966,Luca Guadagnino,,
4967,Lucas Bryant,28/09/1978,
4968,Lucas Grabeel,23/11/1984,
4969,Lucile Hadzihalilovic,07/05/1961,
4970,Lucille Ball,06/08/1911,26/04/1989
4971,Lucille La Verne,1872-11-07,04/03/1945
4972,Lucio Fulci,17/06/1927,13/03/1996
4973,Lucky McKee,01/11/1975,
4974,Lucrecia Martel,14/12/1966,
4975,Lucy,06/08/1911,26/04/1989
4976,Lucy Boynton,,
4977,Lucy Fry,,
4978,Lucy Gaskell,10/07/1980,
4979,Lucy Gordon,22/05/1980,20/05/2009
4980,Ludger Pistor,16/03/1959,
4981,Ludivine Sagnier,03/07/1979,
4982,Luenell,12/03/1959,
4983,Luigi Pistilli,19/07/1929,21/04/1996
4984,Luis Antonio,25/02/1961,
4985,Luis E. Carazo,,
4986,Luis Llosa,,
4987,Luis Mandoki,,
4988,Luis Miranda,15/12/1969,
4989,Luis Rosado,,
4990,Luis Sanchez,02/02/1934,
4991,Luis Tosar,13/10/1971,
4992,Luis Valdez,26/06/1940,
4993,Luisa D'Oliveira,06/10/1986,
4994,Luisa Ranieri,16/12/1973,
4995,Lukas Haas,16/04/1976,
4996,Lukas Moodysson,17/01/1969,
4997,Luke Benward,12/05/1995,
4998,Luke Bracey,,
4999,Luke Dye,,
5000,Luke Edwards,24/03/1980,
5001,Luke Ford,26/03/1981,
5002,Luke Greenfield,05/02/1972,
5003,Luke Grimes,21/01/1984,
5004,Luke Kirby,21/06/1978,
5005,Luke Mably,01/03/1976,
5006,Luke Newberry,19/02/1990,
5007,Luke Perry,11/10/1966,
5008,Luke Treadaway,10/09/1984,
5009,Lumi Cavazos,21/12/1968,
5010,Lunetta Savino,02/11/1957,
5011,Lupe Ontiveros,17/09/1942,26/07/2012
5012,Lusia Strus,,
5013,Lydia Hearst,19/09/1984,
5014,Lydia Wilson,,
5015,Lymari Nadal,11/02/1978,
5016,Lynda Boyd,28/01/1965,
5017,Lynn Cohen,10/08/1933,
5018,Lynn Hung,10/04/1983,
5019,Lynn Redgrave,08/03/1943,02/05/2010
5020,Lynn Shelton,,
5021,Lynn Whitfield,06/05/1953,
5022,Lynne Ramsay,05/12/1969,
5023,Lynne Thigpen,22/12/1948,12/03/2003
5024,Lysette Anthony,26/09/1963,
5025,Lyubov Agapova,,
5026,M. Emmet Walsh,22/03/1935,
5027,M. Night Shyamalan,06/08/1970,
5028,M.C. Gainey,18/01/1948,
5029,Mabel Cheung,17/11/1950,
5030,Mabrouk El Mechri,,
5031,Mac McDonald,18/06/1949,
5032,Macaulay Culkin,26/08/1980,
5033,Macha MÃ©ril,,
5034,Mackenzie Aladjem,,
5035,Mackenzie Crook,29/09/1971,
5036,Mackenzie Davis,01/04/1987,
5037,Mackenzie Foy,10/11/2000,
5038,Mackenzie Gray,22/11/1957,
5039,Mackenzie Phillips,10/11/1959,
5040,Madeleine Albright,15/05/1937,
5041,Madeline Carroll,18/03/1996,
5042,Madeline Kahn,29/09/1942,03/12/1999
5043,Madhavan,01/06/1970,
5044,Madhuri Dixit,15/05/1967,
5045,Madison Davenport,22/11/1996,
5046,Madison Lintz,,
5047,Madison McKinley,,
5048,Madison Pettis,22/07/1998,
5049,Madison Rothschild,,
5050,Mae Marsh,1894-11-09,13/02/1968
5051,Mae West,1893-08-17,22/11/1980
5052,Maeve Dermody,02/11/1985,
5053,Magda Apanowicz,08/11/1985,
5054,Magda Szubanski,12/04/1961,
5055,Maggie Carey,,
5056,Maggie Cheung,20/09/1964,
5057,Maggie Greenwald,23/06/1955,
5058,Maggie Siff,21/06/1974,
5059,Maggie Wheeler,07/08/1961,
5060,Magi Avila,,
5061,Mahadeo Shivraj,,
5062,Mai Charoenpura,05/01/1969,
5063,Maia Morgenstern,01/05/1962,
5064,Maika Monroe,29/05/1993,
5065,Maile Flanagan,19/05/1965,
5066,MaÃ¯wenn,17/04/1976,
5067,Majid Majidi,,
5068,Mako,25/10/1936,
5069,Maksim Fadeev,06/05/1968,
5070,Malcolm D. Lee,11/01/1970,
5071,Malcolm Goodwin,,
5072,Malese Jow,18/02/1991,
5073,Malik Yoba,17/09/1967,
5074,Malika,,
5075,Malone Thomas,,
5076,Malonn LÃ©vana,,
5077,Mamoru Hosoda,19/09/1967,
5078,Man Li,14/01/1953,
5079,Mandy Gonzalez,,
5080,Mani Bharathi,,
5081,Manish Dayal,17/06/1983,
5082,Manny Perez,05/05/1969,
5083,Manoj Bajpayee,23/04/1969,
5084,MÃ¥ns MÃ¥rlind,29/07/1969,
5085,Manuela Velasco,23/10/1975,
5086,Mara Wilson,,
5087,Marama Corlett,,
5088,Marc Abraham,,
5089,Marc Anthony,03/11/1975,
5090,Marc Bennett,,
5091,Marc Blucas,11/01/1972,
5092,Marc Donato,25/01/1989,
5093,Marc F. Adler,,
5094,Marc Forby,02/06/1970,
5095,Marc Forster,30/11/1969,
5096,Marc John Jefferies,16/05/1990,
5097,Marc Lawrence,19/07/1917,28/08/2001
5098,Marc Levin,,
5099,Marc Macaulay,13/10/1957,
5100,Marc SchÃ¶lermann,14/10/1971,
5101,Marc Singer,,
5102,Marc Trottier,22/05/1976,
5103,Marc Webb,31/08/1974,
5104,Marcel Iures,02/08/1951,
5105,Marcela Mar,05/07/1983,
5106,Marcell Nagy,,
5107,Marcella Lentz-Pope,,
5108,Marcello Mastroianni,28/09/1924,19/12/1996
5109,Marcia DeBonis,04/06/1960,
5110,Marcia Wallace,01/11/1942,25/10/2013
5111,Marcio Garcia,17/04/1970,
5112,Marco Hofschneider,18/10/1969,
5113,Marco Kreuzpaintner,11/03/1977,
5114,Marco Schnabel,,
5115,Marco St. John,07/05/1939,
5116,Marco TreviÃ±o,,
5117,Marcos Siega,08/06/1969,
5118,Marcus Chong,08/07/1967,
5119,Marcus Dunstan,,
5120,Marcus Lyle Brown,26/12/1970,
5121,Marcus Nispel,26/05/1963,
5122,Marcus Raboy,30/11/1965,
5123,Mare Winningham,16/05/1959,
5124,Marg Helgenberger,16/11/1958,
5125,Margaret Cho,05/12/1968,
5126,Margaret Hamilton,09/12/1902,16/05/1985
5127,Margaret Tracey,,
5128,Margarita Levieva,09/02/1980,
5129,Margo Harshman,04/03/1986,
5130,Margot Kidder,17/10/1948,
5131,Mari Koda,03/08/1986,
5132,MarÃ­a Alche,23/04/1983,
5133,MarÃ­a Aura,,
5134,MarÃ­a Botto,10/02/1974,
5135,Maria Canals-Barrera,28/09/1966,
5136,Maria Conchita Alonso,29/06/1957,
5137,Maria Dizzia,29/12/1974,
5138,Maria Doyle Kennedy,25/09/1964,
5139,Maria Grazia Cucinotta,27/07/1968,
5140,Maria Maggenti,,
5141,Maria Schrader,27/09/1965,
5142,Maria Thayer,30/10/1975,
5143,MarÃ­a Valverde,24/03/1987,
5144,Mariah Carey,27/03/1970,
5145,Marian Dziedziel,05/08/1947,
5146,Marian Marsh,17/10/1913,09/11/2006
5147,Marian Seldes,23/08/1928,06/10/2014
5148,Marianna Palka,07/09/1981,
5149,Marianne Denicourt,14/05/1966,
5150,Maribel VerdÃº,02/10/1970,
5151,Maricel Ãlvarez,,
5152,Marie Avgeropoulos,17/06/1986,
5153,Marie FÃ©ret,26/05/1945,28/04/2015
5154,Marie Gillain,18/06/1975,
5155,Marie Pillet,20/07/1941,13/02/2009
5156,Marie-Anne Chazel,19/09/1951,
5157,Marie-JosÃ©e Croze,23/02/1970,
5158,Mariel Hemingway,22/11/1961,
5159,Marielle Heller,01/10/1979,
5160,Mariette Monpierre,,
5161,Marilyn Agrelo,,
5162,Marilyn Burns,07/05/1949,05/08/2014
5163,Marilyn Manson,05/01/1969,
5164,Marilyn Norry,,
5165,Marilyn Rising,,
5166,Marin Hinkle,23/03/1966,
5167,Marina Golbahari,,
5168,Marina Hands,10/01/1975,
5169,Marina Sirtis,29/03/1955,
5170,Marina Vlady,10/05/1938,
5171,Mario Cimarro,01/06/1971,
5172,Mario Lopez,10/10/1973,
5173,Mario Monicelli,15/05/1915,29/11/2010
5174,Mario Van Peebles,15/01/1957,
5175,Marion Ross,25/10/1928,
5176,Marisa Coughlan,17/03/1974,
5177,Marisa Saks,23/05/1982,
5178,Marisol Nichols,02/11/1973,
5179,Marius A. Markevicius,03/09/1976,
5180,Mark A.Z. DippÃ©,,
5181,Mark Addy,14/01/1964,
5182,Mark Andrews,12/09/1968,
5183,Mark Bazeley,30/09/1970,
5184,Mark Brown,,
5185,Mark Camacho,12/04/1964,
5186,Mark Caven,23/04/1960,
5187,Mark Chinnery,,
5188,Mark Christopher,08/07/1963,
5189,Mark Christopher Lawrence,22/05/1964,
5190,Mark De Alessandro,,
5191,Mark Dindal,,
5192,Mark Duplass,07/12/1976,
5193,Mark Fantasia,,
5194,Mark Feuerstein,08/06/1971,
5195,Mark Gatiss,17/10/1966,
5196,Mark Helfrich,,
5197,Mark Hengst,07/03/1964,
5198,Mark Herman,,
5199,Mark Illsley,04/06/1958,
5200,Mark L. Lester,26/11/1946,
5201,Mark L. Young,,
5202,Mark Margolis,26/11/1939,
5203,Mark Moses,24/02/1958,
5204,Mark Mylod,,
5205,Mark Neveldine,11/05/1973,
5206,Mark Osborne,17/09/1970,
5207,Mark Pellington,17/03/1962,
5208,Mark Piznarski,,
5209,Mark Rendall,21/10/1988,
5210,Mark Rolston,07/12/1956,
5211,Mark Romanek,18/09/1959,
5212,Mark Rosman,,
5213,Mark Rydell,23/03/1929,
5214,Mark Rylance,18/01/1960,
5215,Mark Sandrich,26/10/1901,04/03/1945
5216,Mark Steven Johnson,30/10/1964,
5217,Mark Tarlov,,
5218,Mark Tonderai,,
5219,Mark Torgl,,
5220,Mark Valley,24/12/1964,
5221,Mark Walters,22/02/1950,
5222,Mark Waters,18/01/1960,
5223,Mark Webber,19/07/1980,
5224,Mark Williams,,
5225,Mark Wingett,01/01/1961,
5226,Mark Young,,
5227,Mark Zupan,20/05/1975,
5228,MarkÃ©ta IrglovÃ¡,28/02/1988,
5229,Marko Zaror,10/06/1978,
5230,Marla Gibbs,14/06/1931,
5231,Marla Sokoloff,19/12/1980,
5232,Marlee Matlin,24/08/1965,
5233,Marlene Forte,,
5234,Marley Shelton,12/04/1974,
5235,Marlon Brando,03/04/1924,01/07/2004
5236,Marques Houston,04/08/1981,
5237,Marri Savinar,,
5238,Mars Callahan,,
5239,Marsha Thomason,19/01/1976,
5240,Marshal Hilton,,
5241,Marshall Allman,05/04/1984,
5242,Marshall Bell,28/09/1942,
5243,Marta Etura,28/10/1978,
5244,Martha Coolidge,17/08/1946,
5245,Martha MacIsaac,11/10/1984,
5246,Martijn Lakemeier,17/09/1993,
5247,Martin Balsam,04/11/1919,13/02/1996
5248,Martin Brest,08/08/1951,
